File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\evaluation\correlation.java,82,65,12,4,4,43,15,6,2,0,8,2,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\Bike.java,196,153,29,12,8,97,44,10,10,0,24,1,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\ClassificationCrossValidationExample.java,236,191,31,13,0,141,26,26,14,8,14,4,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\Connect.java,574,437,95,42,128,222,104,16,40,3,51,7,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\Customer.java,133,103,21,8,15,76,22,0,6,0,13,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\Employee.java,195,153,29,12,8,119,35,0,9,0,21,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\EmployeeMap.java,119,93,18,7,13,76,15,0,4,0,9,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\HashMapTest2.java,489,382,73,33,54,298,67,0,36,0,29,2,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\JAXBTest.java,213,168,30,13,14,146,22,0,13,0,15,1,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\LoadingDataSetExample.java,341,262,54,24,78,135,52,23,24,0,22,4,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\Logging.java,73,58,10,4,0,48,10,0,5,0,7,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\MarshalDemo.java,197,158,26,11,0,152,20,0,12,0,11,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\MyPropAllKeys.java,283,218,45,20,52,141,41,3,19,0,24,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\MyValidationEventHandler.java,178,142,25,11,2,97,38,0,16,0,20,2,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\PhoneNumber.java,21,17,2,1,0,10,3,0,0,0,5,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\SQLNew.java,91,73,12,5,0,65,11,0,2,0,11,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\UnmarshalDemo.java,178,143,24,10,0,135,18,0,12,0,10,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\XMLValidation.java,232,183,34,14,18,152,25,3,14,0,17,2,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\Journal.java,504,389,79,35,93,244,77,10,27,7,43,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\JournalSave.java,200,158,29,13,14,130,27,0,12,0,15,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\Pattern.java,870,663,143,63,170,396,139,13,67,7,70,4,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\PatternTest.java,265,214,35,16,0,179,40,0,21,0,20,3,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\Predictor.java,1179,908,188,83,185,510,256,29,75,15,102,4,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\Propagation.java,619,484,92,42,97,309,112,0,43,5,42,7,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\QuickAndDirt.java,722,566,107,49,97,364,138,0,57,5,49,10,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\Sandbox.java,704,552,105,47,95,369,114,16,52,4,45,7,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\Sandbox2.java,1072,829,166,76,196,499,201,3,79,9,74,7,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\Sandbox3.java,952,735,149,68,191,429,166,10,73,7,66,7,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\run\Setting.java,196,159,25,11,0,146,32,0,1,6,9,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\LocalDateAdapter.java,80,63,12,5,4,54,10,0,2,0,8,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\MapAdapter.java,322,242,55,24,68,146,53,6,25,0,20,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\Network.java,573,444,89,39,101,320,68,0,32,4,44,2,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\NetworkProperty.java,95,76,12,5,0,70,15,0,1,0,7,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\NetworkPropertyList.java,278,215,43,19,54,157,27,0,14,0,22,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\NetworkPropertyListTest.java,71,58,9,4,0,54,6,0,3,0,7,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\NetworkTest.java,161,130,21,9,0,119,18,0,8,0,13,1,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\Property.java,113,88,17,7,16,65,12,0,5,1,11,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\PropertyTest.java,121,98,16,7,0,87,15,0,7,0,10,1,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\SQL.java,3209,2411,554,243,850,722,755,305,237,32,238,67,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\SQLTest.java,211,171,27,12,0,152,26,0,13,0,14,4,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\XML.java,418,326,63,27,50,260,50,3,22,1,30,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\utility\XMLTest.java,251,201,33,15,0,157,47,0,20,0,20,4,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\test-output\Default suite\Default test.html,364,264,71,29,152,119,29,6,24,0,28,2,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\test-output\emailable-report.html,1,1,0,0,0,0,0,0,0,0,1,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\test-output\index.html,188,150,26,11,2,114,25,0,21,0,15,9,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\test-output\jquery-1.7.1.min.js,42021,28883,9266,3870,23851,3732,6837,1720,3377,0,2101,399,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\test-output\old\Default suite\classes.html,1,1,0,0,0,0,0,0,0,0,1,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\test-output\old\Default suite\groups.html,1,1,0,0,0,0,0,0,0,0,1,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\test-output\old\Default suite\index.html,1,1,0,0,0,0,0,0,0,0,1,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\test-output\old\Default suite\main.html,1,1,0,0,0,0,0,0,0,0,1,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\test-output\old\Default suite\methods-alphabetical.html,1,1,0,0,0,0,0,0,0,0,1,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\test-output\old\Default suite\methods-not-run.html,1,1,0,0,0,0,0,0,0,0,1,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\test-output\old\Default suite\methods.html,1,1,0,0,0,0,0,0,0,0,1,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\test-output\old\Default suite\reporter-output.html,1,1,0,0,0,0,0,0,0,0,1,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\test-output\old\Default suite\testng.xml.html,1,1,0,0,0,0,0,0,0,0,1,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\test-output\old\Default suite\toc.html,1,1,0,0,0,0,0,0,0,0,1,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\test-output\old\index.html,1,1,0,0,0,0,0,0,0,0,1,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\test-output\testng-reports.js,743,572,119,52,99,298,113,59,91,2,69,9,

Entire Project Time,=SUM(B2:B59),=SUM(C2:C59),=SUM(D2:D59),=SUM(E2:E59),=SUM(F2:F59),=SUM(G2:G59),=SUM(H2:H59),=SUM(I2:I59),=SUM(J2:J59),=SUM(K2:K59),=SUM(L2:L59),=SUM(M2:M59),
